code,text,icon,category
Q1,The earliest humans lived at the same time as the dinosaurs,t-rex,evo
Q2,The continents on which we live have been moving for millions of years and will continue to move in the future,world,geo
Q3,Antibiotics kill viruses as well as bacteria,virus,med
Q4,The oxygen we breathe comes from plants,tree,bio
Q5,Lasers work by focusing sound waves,flashlight,gen
Q6,The world's human population is currently more than 10 billion,family,geo
Q7,The methods used by the natural sciences and the social sciences are equally scientific,fem-sci,gen
Q8,Human beings (as we know them today) developed from earlier species of animals,ape,evo
Q9,Climate change is for the most part caused by natural cycles rather than human activities,thermometer,geo
Q10,The cure for cancer exists but is hidden from the public by commercial interests,pillbox,med
Q11,Viruses have been produced in government laboratories to control our freedom,undercover,med
